web-scraper-order,web-scraper-start-url,Product_Name,Product_Price,Product_Sold
"1713627386-57","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Tab A7 Lite T220 T225 Samsung Original Connector Charger","Rp15.700","142 Terjual"
"1713627386-58","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Samsung M22 M32 Lensa Camera Lens Belakang","Rp13.600","29 Terjual"
"1713627386-59","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible On Off A15 A15s A16E Oppo Tombol Dalam Volume Fleksibel Power Original Flex","Rp8.600","1,1RB Terjual"
"1713627386-60","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Redmi 10C Original Connector Charger Port Usb Only","Rp5.600","2,3RB Terjual"
"1713627386-61","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC CPU SM8150-503 AB Blackshark 2 Pro Original New Tested SM8150","Rp286.600","150 Terjual"
"1713627386-62","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor LCD Samsung A30S A21S A515F Original Socket Di Mesin Connector Soket A307F A217","Rp17.600","1,6RB Terjual"
"1713627386-63","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Nova 5T Huawei Original Camera Lensa Bawaan Lens","Rp16.300","172 Terjual"
"1713627386-64","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Saja Vivo Y21S Original Connector Charger Port Usb Only","Rp8.600","2,2RB Terjual"
"1713627386-65","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Oppo A37 Charger Connector Ces Port Usb Plug in Only","Rp1.400","10RB+ Terjual"
"1713627386-66","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Redmi Note 11 4G Original Port Usb Ces Charging Only Xiaomi","Rp5.600","1,1RB Terjual"
"1713627386-67","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Xiaomi Mi Note 10 Original Lensa Camera Lens Xiaomi","Rp23.500","62 Terjual"
"1713627386-68","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Redmi Note 5 6 Pro Connector Usb Only Ces Charger Xiaomi","Rp1.400","10RB+ Terjual"
"1713627386-69","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kuas Kecil Lembut Cocok Untuk Membersihkan Mainboard","Rp5.600","2,6RB Terjual"
"1713627386-70","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Mi5X A1 Charger Connector Ces Port Usb Plug in Xiaomi","Rp3.700","3RB Terjual"
"1713627386-71","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Audio +98937 Ewx Redmi Note 7 Original New Tested Xiaomi Max98937","Rp34.400","586 Terjual"
"1713627386-72","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Y91 Y95 Vivo Connector Ces Charger Port Usb","Rp1.300","10RB+ Terjual"
"1713627386-73","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Coil Lampu Redmi 2 Vivo Oppo Original New Tested","Rp5.600","1,5RB Terjual"
"1713627386-74","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flex Papan Cas Redmi Note 10 4G Fast Charging Board Flexible Xiaomi Ces Fleksibel Charger","Rp66.500","57 Terjual"
"1713627386-75","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Cetakan Universal IC Plat Amaoe Original BGA Bahan Jepang","Rp46.400","3,7RB Terjual"
"1713627386-76","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flex Board Xiaomi Mi 11T Pro Flexible Sub Mainboard Penghubung","Rp45.500","55 Terjual"
"1713627386-77","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera A02 Samsung Original Lensa Camera Belakang Lens","Rp9.300","79 Terjual"
"1713627386-78","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Lampu AL65 Samsung A20s Vivo Y91 Y93 Y95 Al 65 Original New Tested Display Light","Rp18.300","985 Terjual"
"1713627386-79","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Saja Redmi Note 7 8 9 10 Pro Tipe C Type Ces Xiaomi Connector Charger Port Usb Charging","Rp2.600","10RB+ Terjual"
"1713627386-80","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Coil Lampu Oppo 2x2.5MM Kualitas Mantap","Rp5.600","1,3RB Terjual"
"1713627386-81","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Board Redmi 8 8A Original Fleksibel Sub Main Xiaomi Flexi","Rp26.600","60 Terjual"
"1713627386-82","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Papan Cas Samsung A51 4G A515F Fast Charging Konektor Charger Board Flexible Flex Ces","Rp66.200","142 Terjual"
"1713627386-83","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Hot 12i Infinix Lensa Camera Lense Belakang Lens X665B","Rp15.500","43 Terjual"
"1713627386-84","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Lcd Redmi Note 8 Xiaomi Connector Di Mesin Original Socket Layar Soket","Rp17.300","1,4RB Terjual"
"1713627386-85","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Oppo K3 Original Lensa Camera Belakang Lens","Rp9.300","34 Terjual"
"1713627386-86","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Audio 878B Samsung A23 A235F","Rp34.300","67 Terjual"
"1713627386-87","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Samsung A54 Lensa Camera Lens Belakang","Rp14.400","2 Terjual"
"1713627386-88","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Power Pmi 8952 Redmi 3S 4X PMI8952 New Original Tested Xiaomi PMl8952","Rp44.500","917 Terjual"
"1713627386-89","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Saja Samsung A72 A52 Original Connector Charger Usb Ces Charging","Rp5.500","3,7RB Terjual"
"1713627386-90","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Mainboard Poco F1 Original Soket Fleksibel Connector Socket Pocophone","Rp24.400","66 Terjual"
"1713627386-91","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Plat Cetakan PM8150 Sm8150 Amaoe Original Mi10 BGA PM8150B SM 8150","Rp48.600","1,5RB Terjual"
"1713627386-92","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Power MT 6332P Xiaomi Redmi Note 2 MT6332P Original","Rp18.600","107 Terjual"
"1713627386-93","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Vivo Y30 Original Connector Charger Ces","Rp5.600","2,8RB Terjual"
"1713627386-94","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Besi Lentur Tipis Pembuka Backdoor Casing Alat Congkel Original","Rp18.600","1,1RB Terjual"
"1713627386-95","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Lensa Kamera Redmi Note 10 Pro 5G Lens Kaca Camera Lense Belakang","Rp13.700","6 Terjual"
"1713627386-96","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Mic Redmi 8 9 10 Note 8 Modul Microphone Mikrofon Xiaomi","Rp5.600","1,9RB Terjual"
"1713627386-97","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Board Samsung A72 A725F Flex Mainboard Sub Main Fleksibel","Rp38.300","642 Terjual"
"1713627386-98","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC Wifi WCN3615 Samsung A115F Original New Tested A11 WCN3615","Rp36.300","83 Terjual"
"1713627386-99","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Slot Sim Tray Redmi Note 3 Mediatek Xiaom MTK Simtray Lock","Rp26.600","68 Terjual"
"1713627386-100","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Papan Cas Samsung A02s A03s Fast Charging Konektor Charger Board Flexible Flex Ces","Rp54.600","161 Terjual"
"1713627386-101","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja A20s Samsung Original Connector Charger Ces Port Usb","Rp3.300","6,6RB Terjual"
"1713627386-102","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Advan GX Original Connector Charger Port Usb Ces Only","Rp3.700","1RB Terjual"
"1713627386-103","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC R100 Resistor Original Kualitas Terbaik","Rp6.600","1,6RB Terjual"
"1713627386-104","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja ZB601KL Zenfone Max Pro M1 Asus Connector Ces Charger Port Usb","Rp2.300","5,7RB Terjual"
"1713627386-105","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Kamera Infinix Note 11 Pro Lensa Camera Belakang","Rp15.500","56 Terjual"
"1713627386-106","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Tombol Luar Volume Redmi 10 Outside Button Switch Xiaomi","Rp13.300","35 Terjual"
"1713627386-107","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible On Off Redmi Note 3 Pro Tombol Power Volume Flex Xiaomi","Rp8.600","163 Terjual"
"1713627386-108","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja A3S 2019 Oppo Connector Usb Ces Charger Only Cph1853","Rp2.250","5,8RB Terjual"
"1713627386-109","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas Aja Redmi Note 11 Pro Connector Charger Xiaomi","Rp9.600","505 Terjual"
"1713627386-110","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor LCD TAB A8 2019 T290 T295 Original Soket Connector Socket Layar","Rp24.400","18 Terjual"
"1713627386-111","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Tombol Luar On Off Redmi Note 7 Original Volume Power Button Outside Xiaomi","Rp14.600","1,6RB Terjual"
"1713627386-112","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","IC LK Backlight Redmi Note 8 Original Display Lampu Light Tested","Rp13.600","2,1RB Terjual"
"1713627386-113","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Lensa Kamera Redmi Note 11 Kaca Camera Belakang Lense Xiaomi Lens","Rp11.400Rp16.600-31%","555 Terjual"
"1713627386-114","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Tombol Luar On Off Redmi Note 8 Original Volume Power Button Outside Xiaomi","Rp14.400","527 Terjual"
"1713627386-115","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Konektor Cas K9 Mito Advan Connector Charger Ces","Rp900","8,1RB Terjual"
"1713627386-116","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Flexible Tombol On Off Volume Redmi Note 9 Xiaomi Original Switch Power Volum","Rp10.500","79 Terjual"
"1713627386-117","https://shopee.co.id/ipenpart?originalCategoryId=11044458#product_list","Kaca Lensa Kamera Y12s Vivo Original Lens Camera Belakang","Rp13.600","268 Terjual"
